education,2
alcohol and tobacco,2
web and email marketing,2
web chat,5
malicious web sites. application and software download,1
pay-to-surf,2
social and affiliation organizations,2
web images,2
marijuana,1
potentially unwanted software,1
sex. compromised websites,1
organizational email,5
computer security,2
peer-to-peer file sharing,5
proxy avoidance,2
internet radio and tv,4
professional and worker organizations,2
sex,1
im,5
computersandsoftware,2
socialnetworks,5
searchengines,3
information technology,2
hobbies,2
parked,2
news,3
newly registered websites,2
suspicious content,1
games,2
financial data and services,2
web analytics,2
business,2
dynamic content,2
onlinedating,5
search engines and portals,3
educational institutions,3
shopping,2
streaming media,4
society and lifestyles,2
business and economy,2
portals,2
hosting,2
gambling,1
health,2
adult content,1
onlineshop,2
real estate,2
vehicles,2
entertainment,2
job search,2
advertisements,2
social networking,5
potentially unwanted software. games,2
news and media,2
known infection source,1
message boards and forums,5
travel,2
educational materials,2
filesharing,4
application and software download,4
malicious web sites. information technology,1
blogs,5
marketing,2
dynamic dns,2
content delivery networks,2
porn,1
radiomusic,2
web hosting,2
religion,2
sports,2
blogs and personal sites,5
weapons,1
reference materials,2
webmail,5
personal network storage and backup,2
search engines and portals. potentially unwanted software,1
onlinephotos,2
onlinepay,2
timewasters,1
jobsearch,2
videos,2
tabloids,2
webproxy,2
bank,2
not recommended site,1
illegal,1
ads,2
advice,2
financial,2
games,2
onlinegames,2
drugs,1
personals and dating,5
maturecontent,2
hacking,2
parked domain,2
cultural institutions,2
educational institutions,2
media file download,4
government,2
bot networks. illegal or questionable,1
malicious web sites,1
